,longitude,latitude,name,park_type,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
7901,-120.173,42.058,Deep Creek,NF,nan,nan,10,5912.0,NH ND NS NR,OR,12.7,SE,Lakeview
7902,-120.078,44.328,Deep Creek,NF,nan,nan,14,4370.0,NH ND NS NR,OR,37.5,E,Prineville
7903,-118.58,44.622,Deerhorn Forest Camp,NF,nan,nan,5,3950.0,NH ND NS NR,OR,4.6,NW,Austin Junction
7904,-119.632,43.892,Delintment Lake,NF,nan,nan,44,5568.0,NH ND NS NR,OR,35.6,NW,Hines
7906,-118.706,44.458,Depot Park,CP,nan,nan,20,3530.0,E DP DW SH,OR,0.4,SE,Prairie City
7909,-122.179,44.727,Detroit Lake State Park,SP,all year,nan,nan,1601.0,WES DP DW SH RS,OR,44.5,E,Salem
7910,-121.765,44.035,Devils Lake,NF,nan,nan,6,5469.0,NR,OR,29.6,E,Blue River
7912,-122.134,43.157,Diamond Lake,NF,mid may-late oct,nan,282,5308.0,NH DP DW SH RS PA,OR,1.5,S,Diamond Lake
7913,-121.965,43.229,Digit Point,NF,nan,nan,64,5699.0,NH DP 33ft NS NR,OR,9.2,W,Chemult
7914,-120.151,42.063,Dismal Creek,NF,nan,nan,7,5781.0,NR,OR,15.2,SW,Adel
7916,-118.594,44.539,Dixie,NF,nan,nan,14,5279.0,NH ND NS NR,OR,7.7,NE,Prairie City
7917,-122.325,42.393,Doe Point,NF,nan,nan,47,4908.0,NH DP NS NR,OR,26.1,E,White City
7919,-120.706,42.085,Dog Lake,NF,nan,nan,26,5230.0,NH ND NS NR,OR,19.8,W,Lakeview
7922,-117.031,45.853,Dougherty,NF,nan,nan,7,5161.0,NH ND NS NR,OR,31.8,N,Enterprise
7925,-120.579,42.12,Drews Creek,NF,nan,nan,12,4859.0,NH ND NS NR,OR,12.9,W,Lakeview
7926,-118.874,45.072,Drift Fence,NF,nan,nan,8,4656.0,NH NR,OR,5.1,SE,Ukiah
7927,-121.626,44.103,Driftwood,NF,nan,nan,16,6585.0,NH ND NS NR,OR,13.5,S,Sisters
7928,-118.858,45.018,Driftwood,NF,nan,nan,6,3012.0,NR,OR,8.8,SE,Ukiah
7931,-117.261,44.891,Eagle Forks,NF,nan,nan,10,2963.0,NH ND NS NR,OR,9.6,NW,Richland
7932,-122.554,43.296,Eagle Rock,NF,nan,nan,31,3038.0,NH ND 30ft NS NR,OR,9.8,E,Steamboat
7933,-121.065,42.943,East Bay,NF,nan,nan,22,5013.0,NH ND NS NR,OR,12.8,S,Silver Lake
7934,-121.853,43.588,East Davis Lake,NF,nan,nan,39,4419.0,NH ND NS NR,OR,11.8,NW,Crescent
7936,-121.213,43.718,East Lake,NF,nan,nan,29,6401.0,NH ND 26ft NS NR,OR,14.9,E,La Pine
7937,-122.171,43.311,East Lemolo,NF,nan,nan,18,4167.0,NH ND NS NR,OR,20.6,W,Chemult
7939,-123.89,42.809,Eden Valley,NF,nan,nan,11,2451.0,NH ND NS NR,OR,10.6,SE,Powers
7942,-121.456,45.407,Eight Mile,NF,nan,nan,25,3885.0,NH ND NS NR L$,OR,20.9,S,Hood River
7943,-123.098,42.661,Elderberry Flat,BLM,nan,unknown facilities,nan,1952.0,NH ND NS NR,OR,16.0,N,Rogue River
7944,-118.328,44.401,Elk Creek,NF,nan,nan,12,4577.0,NH ND NS NR,OR,19.3,E,Prairie City
7946,-121.807,43.979,Elk Lake,NF,nan,nan,22,4928.0,NH ND NS NR,OR,25.1,W,Bend
7947,-122.127,44.823,Elk Lake - Detroit,nan,nan,nan,nan,3776.0,NH ND NS,OR,6.2,N,Detroit
7948,-120.32,44.079,Elkhorn,NF,nan,nan,5,4518.0,NH ND NS NR,OR,29.7,SE,Prineville
7951,-122.627,42.153,Emigrant Lake - Point Park,CP,nan,nan,nan,2142.0,WES DP 45ft DW SH,OR,5.1,SE,Ashland
7952,-118.461,45.54,Emigrant Springs State Park,SP,all year,nan,nan,3855.0,WES DP 40ft DW SH RS L$,OR,18.3,SE,Pendleton
7953,-119.709,44.956,Fairview,NF,nan,nan,5,4383.0,NH ND NS NR,OR,9.4,NE,Spray
7954,-121.62,43.772,Fall River,NF,nan,nan,12,4262.0,NH ND NS NR,OR,9.1,NW,La Pine
7955,-119.41,43.85,Falls,NF,nan,nan,6,4820.0,NH ND NS NR,OR,25.4,NW,Burns
7957,-122.435,42.916,Farewell Bend,NF,nan,nan,73,3488.0,NH ND NS NR,OR,11.5,N,Prospect
7958,-117.228,44.304,Farewell Bend State Park,SP,all year,nan,nan,2129.0,E DP 40ft DW SH RS,OR,23.2,NW,Ontario
7962,-122.313,42.394,Fish Lake,NF,nan,nan,66,4741.0,NH ND NS NR,OR,29.6,NW,Klamath Falls
7963,-117.096,45.05,Fish Lake,NF,nan,nan,19,6690.0,NH ND NS NR,OR,11.7,N,Halfway
7964,-118.644,42.738,Fish Lake - Frenchglen,BLM,nan,nan,nan,7392.0,NR,OR,15.1,SE,Frenchglen
7966,-123.088,42.117,Flumet Flat,NF,nan,nan,nan,1696.0,NH NR,OR,14.9,SW,Jacksonville
7967,-121.524,45.179,Forest Creek,NF,nan,nan,8,3153.0,NH ND 16ft NS NR L$,OR,26.9,SW,Dufur
7971,-122.403,42.501,Fourbit Ford,NF,nan,nan,7,3258.0,NR,OR,8.8,E,Butte Falls
7972,-122.245,42.455,Fourmile Lake,NF,nan,nan,36,5994.0,NH ND 36ft NS NR,OR,28.5,NW,Klamath Falls
7973,-119.577,44.221,Frazier,NF,nan,nan,10,4619.0,NH ND NS NR,OR,17.2,S,Dayville
7974,-118.639,45.16,Frazier,NF,nan,nan,29,4337.0,NH ND NS NR L$,OR,14.4,E,Ukiah
7975,-122.207,44.042,French Pete,NF,nan,nan,21,1883.0,NH ND NS NR,OR,10.1,SE,Blue River
7976,-122.082,43.959,Frissell Crossing,NF,nan,nan,12,2674.0,NH ND NS NR,OR,18.5,SE,Blue River
7978,-121.693,45.224,Frog Lake,NF,mid may-mid sep,nan,45,3970.0,NH ND 16ft NS RS,OR,6.3,SE,Government Camp
7981,-121.129,42.204,Gerber Reservoir,BLM,nan,nan,nan,4836.0,NH DP 30ft NS NR,OR,14.2,E,Bonanza
7984,-118.816,45.002,Gold Dredge,NF,nan,nan,9,3163.0,NH ND NS NR,OR,6.5,E,Dale
7985,-122.05,43.631,Gold Lake,NF,nan,dispersed,26,5249.0,NH ND VT NW NS NR,OR,22.1,E,Oakridge
7986,-121.774,45.112,Gone Creek,NF,mid may-mid sep,nan,62,3330.0,NH ND 32ft NS RS,OR,13.3,S,Government Camp
7988,-120.322,41.994,Goose Lake State Park,SP,early may-late sep,nan,48,4731.0,E DP DW SH RS L$,OR,13.5,S,Lakeview
7989,-121.639,44.486,Gorge,NF,nan,nan,18,2949.0,NH ND NS NR,OR,14.2,N,Sisters
7990,-118.242,44.976,Grande Ronde Lake,NF,nan,nan,8,7211.0,NH ND NS NR,OR,24.3,NW,Baker City
7991,-118.952,44.421,Grant County RV Park,CP,nan,nan,nan,3064.0,E ND NS,OR,0.3,N,John Day
7992,-123.919,42.553,Grassy Flats,NF,nan,nan,5,4534.0,NR,OR,7.6,E,Agness
7993,-123.461,42.143,Grayback,NF,nan,swimming hole nearby,45,1916.0,E ND NS NR,OR,9.7,E,Cave Junction
7994,-121.941,45.283,Green Canyon,NF,nan,nan,23,1690.0,NH ND NS NR,OR,4.2,S,Zigzag
7996,-122.425,42.255,Grizzly  - Howard Prairie Lake,CP,mid apr-mid sep,nan,21,4547.0,NH ND VT NS,OR,15.2,E,Ashland
7997,-121.761,43.706,Gull Point,NF,early may-late sep,nan,85,4367.0,NH ND 30ft NS RS,OR,32.9,SW,Bend
7998,-121.814,42.384,Hagelstein Park,CP,nan,nan,10,4157.0,nan,OR,11.1,N,Klamath Falls
8001,-122.328,43.056,Hamaker,NF,nan,nan,10,4085.0,NH ND NS NR,OR,22.4,N,Prospect
8003,-120.682,42.476,Happy Camp,NF,nan,nan,9,5295.0,NH ND NS NR,OR,26.3,NW,Lakeview
8005,-123.111,42.034,Harr Point,NF,nan,nan,5,2051.0,NH ND NS NR,OR,15.7,S,Applegate
8007,-123.129,42.052,Hart-Tish Park - Applegate Lake,NF,nan,tent sites all walk-to - rv sites parking lot - free wifi,16,2000.0,NH ND FT DW NS RS L$,OR,14.3,S,Applegate
8008,-121.139,44.492,Haystack Lake,NF,nan,nan,54,2900.0,NH ND NS NR N$,OR,9.8,S,Madras
8009,-118.692,44.755,Head O Boulder Forest Camp,NF,nan,nan,7,7162.0,NR,OR,14.4,NW,Bates
8010,-121.419,42.732,Head Of The River,NF,nan,nan,5,4633.0,NH ND NS NR,OR,25.1,NE,Chiloquin
8012,-122.704,43.19,Hemlock Lake,NF,nan,nan,34,4560.0,NH ND 35ft NS NR,OR,21.4,E,Glide
8013,-122.695,43.188,Hemlock Meadows,NF,nan,nan,12,4564.0,NH ND 35ft NS NR,OR,40.2,E,North Umpqua
8014,-116.977,45.113,Hidden,NF,nan,nan,10,4432.0,NH ND NS NR,OR,20.7,SE,Joseph
8015,-121.965,45.125,Hideaway Lake,NF,nan,nan,9,4091.0,NH ND NS NR,OR,21.2,SE,Estacada
8016,-121.894,45.157,High Rock Spring,NF,nan,nan,7,4603.0,NH ND 16ft NS NR N$,OR,23.3,SE,Estacada
8017,-118.228,45.342,Hilgard Junction State Rec Area,SRA,nan,nan,18,2986.0,NH ND NS NR,OR,11.1,W,LaGrande
8018,-122.669,43.647,Hobo Forest Camp,NF,nan,nan,7,1873.0,NH ND 16ft NS NR N$,OR,22.1,SE,Cottage Grove
8019,-120.842,42.273,Holbrook Reservoir,NF,nan,nan,10,5436.0,NR,OR,26.0,W,Lakeview
8020,-122.157,43.968,Homestead,NF,nan,nan,7,2369.0,NR,OR,15.7,SE,Blue River
