,longitude,latitude,name,park_type,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
188,-95.455,43.5,Iowa Lake Co Park,CP,nan,nan,120,1505.0,E DP SH NR,IA,4.0,N,Harris
344,-95.623,43.084,Primghar City Park,CP,nan,nan,15,1506.0,E DP FT DW SH,IA,0.3,SE,Primghar
363,-95.736,43.399,Robinson Park,CP,nan,restrooms may not be clean,13,1508.0,WE DP DW SH L$,IA,0.8,E,Sibley
775,-100.761,37.148,Arkalon Park,CP,nan,nan,100,2549.0,WE DP DW SH,KS,11.4,NE,Liberal
779,-101.042,39.818,Atwood Lions Club Park,CP,nan,nan,9,2838.0,E DP DW SH,KS,0.8,N,Atwood
780,-101.042,39.815,Atwood Lions Park,CP,nan,nan,nan,2835.0,E FT DW SH,KS,0.5,N,Atwood
784,-101.257,37.898,Beymer Water Recreation Park,CP,nan,nan,8,2999.0,WE FT DW L$,KS,2.9,S,Lakin
789,-100.0,38.069,Buckner Valley Park,CP,nan,nan,nan,2343.0,E DW,KS,5.9,W,Jetmore
791,-99.168,38.177,Camp Pawnee,CP,early apr-mid oct,nan,12,2024.0,E FT DW,KS,3.8,W,Larned
796,-99.732,38.808,Cedar Bluff State Park - North Shore,SP,all year,nan,254,2168.0,E DP SH RS,KS,12.9,SW,Ellis
797,-99.764,38.772,Cedar Bluff State Park - South Shore,SP,all year,nan,315,2194.0,RS,KS,9.1,N,Brownell
804,-101.894,37.119,Cimarron,NF,nan,nan,14,3389.0,NH ND NS NR,KS,7.7,N,Elkhart
816,-99.947,37.775,Dodge City Roadside Park,CP,nan,nan,5,2523.0,NH ND NS,KS,4.1,E,Dodge City
822,-98.589,38.361,Ellinwood City Park,CP,nan,nan,5,1788.0,E DP DW L$,KS,0.6,NW,Ellinwood
823,-99.558,38.94,Ellis Lakeside City Campground,CP,nan,nan,18,2116.0,WE DP DW SH,KS,0.2,NE,Ellis
830,-101.337,37.564,Frazier Park,CP,nan,nan,nan,2976.0,E DP FT DW,KS,1.5,SE,Ulysses
847,-97.991,38.667,Horsethief - Kanopolis State Park,SP,all year,nan,320,1581.0,E RS,KS,11.5,NW,Marquette
851,-99.958,38.052,Jetmore City Lake,CP,nan,nan,15,2340.0,E DP,KS,4.2,SW,Jetmore
852,-98.282,39.698,Jewell State Fishing Lake,SP,all year,primitive sites around lake,nan,1679.0,NH ND PT NS,KS,7.1,W,Jewell
856,-100.002,39.786,Keith Sebelius Lake RA,BOR,nan,nan,nan,2324.0,NH ND NS NR,KS,6.7,SW,Norton
860,-99.344,37.246,Lake Coldwater,CP,nan,nan,nan,2013.0,E DP DW SH,KS,1.9,SW,Coldwater
867,-99.579,39.628,Logan Lake City Park,CP,nan,nan,nan,2041.0,E,KS,2.4,S,Logan
872,-98.051,39.905,Lovewell State Park,SP,all year,nan,425,1598.0,E SH RS,KS,2.3,S,Webber
873,-98.503,38.969,Lucas - Wilson Reservoir,COE,all year,nan,100,1590.0,WE DP 60ft DW SH RS,KS,6.3,S,Lucas
874,-98.692,39.119,Luray North City Park,CP,nan,nan,nan,1587.0,E L$,KS,0.6,N,Luray
875,-98.21,38.34,Lyons City Campground,CP,nan,nan,25,1688.0,E DP FT DW SH N$,KS,0.6,SW,Lyons
876,-98.155,39.67,MAAG Memorial Park,CP,nan,RV parking,nan,1555.0,E DP DW SH L$,KS,0.1,SW,Jewell
886,-100.328,37.284,Meade City Park,CP,nan,nan,nan,2428.0,NH DP N$,KS,0.7,E,Meade
887,-100.438,37.164,Meade State Park,SP,all year,nan,190,2482.0,E RS,KS,10.0,SW,Meade
892,-98.59,38.936,Minooka - Wilson Reservoir,COE,all year,nan,220,1570.0,WE DP DW SH RS,KS,6.2,N,Dorrance
909,-99.335,39.755,Phillipsburg City Park,CP,nan,nan,nan,1870.0,E DP DW SH L$,KS,0.6,W,Phillipsburg
913,-99.951,39.807,Prairie Dog State Park,SP,all year,nan,190,2352.0,E DP DW SH RS,KS,3.7,SW,Norton
914,-100.452,37.596,Prairie Wind RV Park,CP,nan,nan,5,2779.0,WES DP NR,KS,0.5,W,Montezuma
915,-98.684,37.63,Pratt County Veterans Memorial Park,CP,nan,nan,17,1805.0,WE DP DW RS L$,KS,3.1,E,Pratt
930,-97.622,39.829,Rocky Pond City Park,CP,nan,nan,nan,1510.0,WE DW SH,KS,0.6,NE,Belleville
937,-100.495,39.839,Sappa Park,CP,all year,nan,5,2526.0,E NW,KS,2.3,NE,Oberlin
939,-100.918,38.668,Scott State Park,SP,all year,nan,150,2819.0,nan,KS,12.8,N,Scott City
942,-100.236,39.36,Sheridan State Fishing Lake,SP,all year,primitive sites near lake,nan,2538.0,NH ND VT NS,KS,11.0,E,Hoxie
944,-98.794,39.785,Smith Center Roadside Area,CP,nan,nan,nan,1785.0,NH ND NS N$,KS,0.6,NW,Smith Center
948,-101.8,39.767,St. Francis City Campground,CP,nan,nan,nan,3368.0,E DP SH,KS,0.5,S,St. Francis
949,-98.202,38.205,Sterling Lake Park,CP,nan,nan,14,1639.0,WES DP FT DW SH NR,KS,0.4,SE,Sterling
951,-99.28,39.435,Stockton City Park,CP,nan,nan,5,1759.0,WE DP FT DW SH RS,KS,0.8,W,Stockton
955,-101.759,37.961,Syracuse Sand Dunes,CP,nan,nan,nan,3225.0,WE NR,KS,1.4,S,Syracuse
965,-97.988,38.633,Venango - Kanapolis Reservoir,COE,early may-late dec,nan,nan,1501.0,WE DP 65ft FT DW SH RS PA,KS,9.9,NW,Marquette
971,-99.449,39.41,Webster State Park,SP,all year,nan,10,1929.0,WE ND DW NS RS,KS,10.0,W,Stockton
977,-98.495,38.909,Wilson State Park,SP,all year,nan,300,1581.0,E RS,KS,8.8,SW,Sylvan Grove
981,-98.588,38.354,Wolf Pond Park,CP,nan,nan,nan,1788.0,WE L$,KS,0.4,W,Ellinwood
983,-98.014,38.644,Yankee Run - Kanopolis Lake,COE,nan,unknown facilities,nan,1501.0,NH ND NS NR,KS,25.6,SW,Salina
1006,-88.59,46.129,Bates Township Park - Sunset Lake,CP,nan,nan,13,1583.0,NH ND DW SH L$,MI,3.6,NE,Iron River
1039,-89.673,46.359,Bobcat Lake,NF,nan,nan,12,1574.0,NH NR,MI,5.8,SW,Marenisco
1051,-89.053,46.314,Burned Dam,NF,all year,nan,5,1561.0,NH ND NS NR N$,MI,6.8,NE,Watersmeet
1091,-88.324,46.325,Deer Lake - State Forest,SF,all year,open all year but snow may block,12,1569.0,NH NR,MI,15.7,N,Crystal Falls
1104,-89.94,46.484,Eddy Park - Sunday Lake,CP,nan,nan,79,1525.0,WE DW SH L$,MI,0.6,N,Wakefield
1136,-88.883,46.172,Golden Lake,NF,nan,nan,22,1641.0,NH NR,MI,12.7,NW,Iron River
1159,-89.79,46.332,Henry Lake,NF,nan,nan,11,1600.0,NH NR,MI,11.6,SW,Marenisco
1180,-89.071,46.218,Imp Lake,NF,nan,nan,22,1708.0,NH NR,MI,6.2,SE,Watersmeet
1196,-88.402,46.531,King Lake - Copper County State Forest,SF,all year,open all year but snow may block,6,1662.0,NH NR,MI,6.5,E,Covington
1214,-90.16,46.149,Lake of the Falls County Park,CP,nan,nan,35,1578.0,E DW,MI,4.8,W,Mercer
1215,-88.76,46.081,Lake Ottawa,NF,nan,nan,32,1551.0,NH DP NR,MI,5.7,W,Iron River
1216,-88.723,46.393,Lake Ste. Kathryn,NF,nan,nan,24,1562.0,NH NR,MI,15.1,SE,Trout Creek
1219,-89.493,46.272,Langford Lake,NF,nan,nan,11,1673.0,NH NR,MI,15.0,W,Watersmeet
1248,-89.093,46.268,Marion Lake 1,NF,nan,nan,9,1634.0,NH ND NS NR,MI,4.1,E,Watersmeet
1249,-89.083,46.267,Marion Lake 2,NF,nan,nan,30,1654.0,NH NR,MI,4.6,E,Watersmeet
1274,-88.073,46.458,Moose Rapids Township,CP,nan,rustic,nan,1528.0,NH ND PT NW NS NR,MI,5.8,NW,North Republic
1275,-89.604,46.242,Moosehead Lake,NF,nan,nan,13,1685.0,NH NR,MI,11.1,S,Marenisco
1293,-88.682,46.416,Norway Lake,NF,nan,nan,25,1525.0,NH ND VT DW NS NR,MI,6.3,S,Sidnaw
1318,-88.674,46.364,Perch Lake,NF,nan,nan,24,1556.0,NH NR,MI,12.4,S,Watton
1346,-89.574,46.282,Pomeroy Lake,NF,nan,nan,17,1631.0,NH NR,MI,18.9,W,Watersmeet
1415,-89.322,46.24,Sylvania - Clark Lake,NF,nan,nan,48,1829.0,NH DP DW SH NR,MI,7.1,W,Watersmeet
1420,-88.875,46.389,Tepee Lake,nan,nan,nan,nan,1608.0,nan,MI,9.2,SE,Trout Creek
1443,-87.989,46.526,Van Riper State Park,SP,mid apr-late oct,nan,145,1581.0,E DP DW SH RS,MI,1.5,NW,Champion
1473,-95.94,43.64,Adrian City Park,CP,mid may-mid oct,nan,100,1516.0,E DP 40ft SH,MN,0.5,NW,Adrian
1491,-90.818,47.845,Baker Lake,NF,nan,nan,5,1751.0,NH ND VT NW NS NR N$,MN,18.7,N,Tofte
1498,-92.085,47.792,Bear Head Lake State Park,SP,all year,nan,75,1522.0,E DP DW SH RS,MN,12.7,SW,Ely
1513,-96.192,43.717,Blue Mounds State Park,SP,all year,nan,75,1557.0,E DP 40ft DW SH RS,MN,4.3,N,Luverne
1519,-92.781,47.489,Buhl RV Park,CP,nan,tight narrow road,10,1521.0,NH,MN,0.3,SW,Buhl
1524,-91.917,47.379,Cadotte Lake,NF,early may-mid nov,nan,27,1631.0,NH ND NS RS,MN,14.2,SE,Hoyt Lakes
1525,-95.918,44.354,Camden State Park,SP,all year,nan,80,1512.0,E DP DW SH RS,MN,2.6,SW,Lynd
1531,-90.531,47.833,Cascade River State Park,SP,all year,nan,4,1634.0,E DP VT NW SH RS N$,MN,14.5,NE,Lutsen
1549,-90.772,47.825,Crescent Lake,NF,early may-late oct,nan,34,1781.0,NH ND NS RS PA,MN,17.6,N,Tofte
1556,-96.394,43.849,DeBates Memorial Park,CP,nan,nan,5,1598.0,E L$,MN,0.2,E,Jasper
1560,-90.463,47.829,Devil Track Lake,NF,nan,nan,16,1640.0,NH ND NS NR,MN,8.1,NW,Grand Marais
1561,-90.091,48.003,Devilfish Lake - Grand Portage State Forest,SF,nan,primitive - open all year but snow may block,5,1893.0,NH ND VT DW NS NR L$,MN,20.8,NE,Grand Marais
1565,-90.394,48.037,East Bearskin Lake,NF,early may-late oct,nan,33,1739.0,NH ND NS RS PA,MN,20.0,N,Grand Marais
1580,-90.408,48.053,Flour Lake,NF,early may-mid oct,nan,37,1778.0,NH ND NS RS,MN,21.2,N,Grand Marais
1605,-91.125,47.663,Harriet Lake,NF,nan,nan,13,1765.0,NR N$,MN,11.2,E,Isabella
1615,-96.303,44.265,Hole in the Mountain County Park,CP,nan,nan,nan,1792.0,WE DP DW SH,MN,0.9,W,Lake Benton
1619,-96.302,44.263,Horse Hill Co Park,CP,nan,nan,30,1782.0,E DW SH,MN,0.8,W,Lake Benton
1625,-91.847,47.273,Indian Lake - Cloquet Valley State Forest,SF,nan,primitive - open all year but snow may block,26,1507.0,NH ND VT DW NS NR L$,MN,19.2,NW,Two Harbors
1628,-90.615,48.068,Iron Lake,NF,early may-mid oct,nan,7,1867.0,NH ND NS RS,MN,25.5,NW,Grand Marais
1645,-91.103,47.839,Kawishiwi Lake,NF,nan,nan,5,1659.0,NH ND NS NR,MN,35.7,E,Ely
1647,-90.226,47.863,Kimball Lake,NF,nan,nan,11,1681.0,NH ND NS NR,MN,9.2,NE,Grand Marais
1660,-96.434,44.505,Lake Hendricks Park,CP,nan,nan,27,1758.0,E DP DW SH L$,MN,0.5,W,Hendricks
1666,-95.69,44.102,Lake Shetek State Park,SP,all year,nan,100,1502.0,E DP DW SH RS,MN,2.4,NW,Currie
1674,-95.663,43.945,Lime Lake Co Park,CP,nan,nan,3,1520.0,E ND DW NS PA L$,MN,0.9,W,Avoca
1678,-91.423,47.647,Little Isabella River,NF,mid may-mid sep,nan,11,1831.0,NH ND NS RS,MN,3.8,NW,Isabella
1680,-95.312,47.283,Long Lake County Campground,CP,nan,nan,91,1562.0,E DP DW SH,MN,17.3,S,Shevlin
1685,-96.082,43.646,Magnolia City,CP,early apr-late sep,nan,10,1522.0,WES DP L$,MN,0.1,W,Magnolia
1687,-94.937,47.066,Mantrap - Paul Bunyan State Forest,SF,nan,primitive - open all year but snow may block,40,1527.0,NH NS NR,MN,11.5,NE,Park Rapids
1688,-94.937,47.066,Mantrap Lake - Paul Bunyan State Forest,SF,nan,primitive - open all year but snow may block,38,1528.0,NH ND VT DW NS NR L$,MN,11.5,NE,Park Rapids
1694,-91.535,47.639,Mcdougal Lake,NF,mid may-mid sep,nan,21,1760.0,NH ND NS RS,MN,8.5,W,Isabella
1695,-90.059,48.054,McFarland Lake - Grand Portage State Forest,SF,nan,primitive - open all year but snow may block,5,1506.0,NH VT DW NR,MN,24.6,NE,Grand Marais
1716,-91.073,47.58,Ninemile Lake,NF,nan,nan,24,1616.0,NH ND NS NR,MN,8.8,W,Schroeder
1724,-96.261,44.288,Norwegian Creek Co Park,CP,nan,nan,92,1753.0,WES DP FT DW SH,MN,2.1,NE,Lake Benton
1730,-95.635,43.608,Olson City Park,CP,mid apr-mid oct,nan,68,1581.0,E DP DW SH,MN,2.2,SW,Worthington
1741,-96.349,44.405,Picnic Point Park,CP,nan,nan,30,1777.0,WE DP NS,MN,10.3,N,Lake Benton
1764,-96.14,43.871,Rock River City Park,CP,nan,nan,16,1552.0,WE DP FT DW SH,MN,0.6,W,Edgerton
1775,-90.887,47.866,Sawbill Lake,NF,early may-late oct,nan,50,1818.0,NH DP NS RS PA,MN,20.3,N,Tofte
1779,-95.601,43.86,Seven Mile Lake Co Park,CP,nan,nan,13,1502.0,E ND FT DW SH NR,MN,0.7,S,Fulda
1782,-92.464,47.484,Sherwood Forest City Campground,CP,mid may-mid oct,nan,57,1503.0,WES DP DW SH,MN,0.3,S,Gilbert
1794,-96.364,43.898,Split Rock Creek State Park,SP,mid may-mid sep,nan,30,1621.0,E DP DW SH RS,MN,3.7,NE,Jasper
1807,-91.669,47.382,Sullivan Lake ? Finland State Forest,SF,nan,primitive - open all year but snow may block,12,1700.0,NH ND VT DW NS NR L$,MN,24.8,N,Two Harbors
1809,-95.94,44.167,Swensons Park,CP,mid apr-mid oct,nan,10,1670.0,E DP VT NS PA,MN,5.9,SW,Balaton
1815,-90.88,47.719,Temperance River,NF,nan,nan,11,1520.0,E ND SH NR,MN,34.2,NE,Silver Bay
1824,-90.954,47.713,Toohey Lake,NF,nan,nan,10,1677.0,NH ND NS NR,MN,12.0,N,Schroeder
1828,-90.446,47.879,Two Island Lake,NF,nan,nan,38,1773.0,NH ND NS NR,MN,10.3,NW,Grand Marais
1847,-95.78,44.153,West Lake Sarah County Park,CP,all year,nan,8,1529.0,E DP VT DW NS PA,MN,4.4,S,Garvin
1860,-95.363,46.813,Wolf Lake City Campground,CP,early may-mid oct,nan,14,1538.0,E DW SH L$,MN,0.8,NW,Wolf Lake
2055,-103.588,48.057,American Legion Park - Williston,CP,nan,unknown facilities,15,1860.0,E ND NS,ND,6.4,S,Williston
2056,-101.278,48.992,Antler Memorial Park,CP,nan,outdoor toilets,nan,1522.0,E DP N$,ND,1.5,N,Antler
2058,-99.378,46.033,Ashley RV Park,CP,nan,nan,9,2010.0,WES,ND,0.3,W,Ashley
2059,-100.556,46.503,Badger Bay,COE,nan,nan,6,1614.0,NH ND NS NR,ND,22.4,NW,Linton
2061,-101.29,47.11,Ball Park RV Park,CP,nan,nan,10,1962.0,E ND NS RS L$,ND,0.6,SE,Center
2062,-102.95,48.872,Baukol - Noonan Trout Pond,CP,nan,nan,nan,1988.0,E VT,ND,2.9,SE,Noonan
2063,-101.915,47.459,Beaver Bay Rec Area - Zap,CP,nan,primitive = unknown facilities,nan,1867.0,NH ND NS,ND,11.9,N,Zap
2064,-100.533,46.25,Beaver Creek - Lake Oahe,COE,mid may-mid sep,nan,40,1652.0,WES DP DW SH RS PA N$,ND,14.4,W,Linton
2065,-99.618,46.404,Beaver Lake State Park,SP,mid may-late aug,nan,nan,2037.0,E DP DW SH RS,ND,10.2,SE,Napoleon
2067,-103.348,47.491,Bennett,NF,nan,nan,15,2237.0,NH NS NR,ND,21.7,S,Watford City
2068,-101.729,48.317,Berthold Cenex RV Park,CP,early may-late oct,nan,10,2070.0,WE DP N$,ND,0.5,NE,Berthold
2069,-101.773,47.506,Beulah Bay Rec Area,CP,nan,nan,nan,1900.0,WE DP DW SH L$,ND,16.7,N,Beulah
2070,-101.784,47.254,Beulah Park District Eagles RV Park,CP,nan,nan,nan,1775.0,WE DW SH,ND,0.7,SW,Beulah
2071,-98.35,47.563,Binford Park Campground,CP,nan,nan,6,1522.0,WES DP FT DW SH,ND,0.2,NW,Binford
2072,-99.36,48.639,Bisbee (Big Coulee) Dam,CP,nan,unknown facilities,nan,1589.0,NH ND NS,ND,1.2,NE,Bisbee
2073,-103.734,48.429,Blacktail Dam,CP,nan,nan,32,2086.0,E DP FT DW SH,ND,20.2,N,Williston
2074,-100.432,48.823,Bottineau City Park,CP,nan,well maintained,16,1634.0,WES FT DW,ND,0.7,SE,Bottineau
2075,-102.25,48.804,Bowbells RV Park,CP,nan,nan,nan,1959.0,WES DP,ND,0.2,W,Bowbells
2076,-99.705,47.473,Bowdon RV Park,CP,nan,quiet,6,1805.0,WES DP FT DW SH,ND,0.2,NE,Bowdon
2077,-103.39,46.177,Bowman Lions Park,CP,nan,nan,nan,2950.0,NH DP NS,ND,0.5,SE,Bowman
2078,-103.246,45.99,Bowman-Haley Lake,COE,nan,nan,nan,2797.0,E DP FT DW SH NR,ND,15.1,SE,Bowman
2079,-100.091,46.564,Braddock City Park,CP,nan,primitive - unknown facilites - no trees,nan,1859.0,E DP DW,ND,0.0,SW,Braddock
2080,-100.885,47.547,Brekken - Holmes Rec Area,CP,nan,nan,18,1848.0,NH DW NS,ND,13.3,NE,Underwood
2082,-103.675,46.954,Buffalo Gap,NF,early jun-late aug,nan,48,2576.0,NH ND SH NR L$,ND,7.6,W,Medora
2083,-100.767,48.327,Buffalo Lake County Park,CP,nan,nan,nan,1551.0,NH N$,ND,5.4,NE,Granville
2086,-103.444,46.597,Burning Coal Vein,NF,nan,nan,10,2536.0,NH ND NS NR N$,ND,23.0,SW,Belfield
2087,-100.666,47.838,Butte City Park,CP,nan,nan,nan,1736.0,E DP,ND,0.0,SW,Butte
2088,-103.373,46.179,Butte View Park,CP,nan,nan,50,2966.0,E DP DW SH,ND,1.1,E,Bowman
2090,-100.552,48.877,Carbury Rec Area,CP,nan,nan,10,1630.0,E,ND,5.9,NW,Bottineau
2091,-101.713,48.444,Carpio City Park,CP,nan,nan,nan,1690.0,nan,ND,0.1,NE,Carpio
2092,-101.713,48.444,Carpio City Park,CP,nan,nan,10,1690.0,E,ND,0.1,NE,Carpio
2093,-100.592,46.095,Cattail Bay,COE,nan,unknown facilities,6,1609.0,NH ND NS NR,ND,20.8,W,Strasburg
2094,-103.276,47.586,CCC,NF,nan,nan,38,1983.0,NH ND NS NR,ND,14.9,S,Watford City
2096,-101.295,47.114,Center RV Park,CP,nan,nan,20,1972.0,WES DP RS,ND,0.3,SE,Center
2098,-100.719,47.358,Chain of Lakes Rec Area,BOR,nan,nan,55,1845.0,NH DP VT NR,ND,14.1,N,Wilton
2099,-103.266,47.8,Cherry Creek Campground,CP,nan,nan,nan,2054.0,WES DP DW SH,ND,0.8,E,Watford City
2102,-99.067,46.012,Cold Water Park,CP,nan,nan,nan,1960.0,E L$,ND,14.7,E,Ashley
2103,-102.776,48.905,Columbus City Park,CP,nan,small,nan,1923.0,E ND L$,ND,0.2,E,Columbus
2104,-103.982,47.986,Confluence Access,CP,nan,unknown facilities,nan,1879.0,NH ND NS,ND,1.0,SE,Buford
2107,-101.005,47.212,Cross Ranch State Park,SP,all year,nan,nan,1752.0,E DP SH RS,ND,5.0,SE,Hensler
2109,-101.603,46.895,Danzig Dam,CP,nan,primitive - unknown facilities,nan,2118.0,NH VT,ND,12.6,N,Almont
2112,-101.598,47.578,Douglas Creek Bay - Lake Sakakawea,COE,nan,nan,17,1868.0,NH ND NS NR,ND,9.9,SW,Garrison
2113,-101.427,47.481,Downstream - Lake Sakakawea,COE,early may-late sep,nan,117,1696.0,E DP DW SH RS PA L$,ND,2.4,SE,Pick City
2114,-99.48,46.206,Doyle Memorial State Park,SP,all year,nan,12,2015.0,E DW SH NR,ND,5.1,SE,Wishek
2117,-101.262,47.618,East Totten - Lake Sakakawea,COE,nan,unknown facilities,30,1854.0,E DP NS NR,ND,5.4,N,Coleharbor
2119,-103.363,48.279,Epping RV Park,CP,early may-mid oct,may be full - check,12,2203.0,WES DP,ND,0.3,W,Epping
2120,-99.626,47.645,Fessenden City Park,CP,nan,nan,8,1611.0,E DW SH L$,ND,0.3,SE,Fessenden
2122,-99.441,48.295,Firemans Memorial Park - Leeds,CP,nan,basic RV parking area,nan,1509.0,NH ND FT DW NS N$,ND,0.4,NW,Leeds
2123,-103.642,47.843,First Responders Park - Alexander,CP,nan,shaded,6,2181.0,WE DP N$,ND,0.1,E,Alexander
2124,-102.393,48.899,Flaxton Water Tower Park,CP,nan,small,nan,1936.0,E ND NS N$,ND,0.1,N,Flaxton
2126,-100.839,46.748,Fort Abraham Lincoln State Park,SP,all year,nan,nan,1640.0,E DP 45ft DW SH RS,ND,5.9,SE,Mandan
2127,-104.001,47.986,Fort Buford State Historic Site,CP,nan,unknown facilities - no shade,nan,1900.0,NH,ND,1.0,SW,Buford
2130,-100.584,46.505,Fort Rice Rec Area,CP,nan,nan,10,1640.0,E,ND,26.6,SE,Mandan
2131,-101.42,47.591,Fort Stevenson State Park,SP,all year,nan,150,1881.0,E DP DW SH RS,ND,4.2,S,Garrison
2133,-99.147,46.626,Gackle RV Park,CP,nan,nan,6,1913.0,WES DP FT DW SH,ND,0.2,W,Gackle
2135,-103.091,46.127,Gascoyne Lake City,CP,nan,unknown facilities,nan,2749.0,NH,ND,0.8,NW,Gascoyne
2136,-100.795,46.746,General Sibley Park,CP,nan,nan,nan,1631.0,E DP DW SH,ND,4.3,S,Bismarck
2137,-101.85,46.814,Glen Ullin Memorial Park,CP,nan,nan,nan,2080.0,E DP NS,ND,1.0,W,Glen Ullin
2138,-98.628,47.457,Glenfield City Park,CP,nan,nan,5,1506.0,WE FT DW,ND,2.8,W,Glenfield
2139,-103.984,46.732,Golva City Park,CP,nan,nan,5,2818.0,E,ND,0.1,SE,Golva
2140,-100.122,47.474,Goodrich City Park,CP,nan,nan,3,1958.0,ES DP SH,ND,0.2,E,Goodrich
2144,-100.715,46.654,Graner Park - Sugarloaf Rec Area,CP,nan,nan,27,1618.0,E DP PA,ND,3.6,NW,Huff
2145,-100.848,48.263,Granville City Park,CP,nan,nan,10,1518.0,E,ND,0.4,SW,Granville
2146,-103.247,47.394,Grassy Butte Community Park,CP,nan,nan,25,2680.0,E VT,ND,0.1,N,Grassy Butte
2148,-99.999,46.029,Hague City Park,CP,nan,nan,4,1896.0,E DP DW SH,ND,0.2,W,Hague
2151,-100.966,46.944,Harmon Lake Rec Area,CP,nan,primitive in 2012 - being developed to WES,nan,1759.0,NH ND NS,ND,8.9,NW,Mandan
2153,-102.471,45.974,Haynes City Park,CP,nan,primitive - unknown facilities,nan,2546.0,NH,ND,0.0,W,Haynes
2154,-100.543,46.525,Hazelton Area - Lake Oahe,COE,mid may-mid sep,nan,nan,1641.0,E ND NS RS PA,ND,12.9,W,Hazelton
2155,-100.284,46.484,Hazelton City Park,CP,nan,nan,10,1965.0,WES DP FT DW SH,ND,0.2,W,Hazelton
2156,-101.626,47.502,Hazen Bay Rec Area,nan,nan,nan,70,1937.0,E DP DW SH,ND,14.3,N,Hazen
2157,-101.833,46.593,Heart Butte Reservoir (Lake Tschida),CP,nan,2 campgrounds,nan,2111.0,NH ND VT NW NS N$,ND,13.1,N,Elgin
2159,-100.454,47.516,Hoffer Lake Rec Area,CP,nan,nan,16,1850.0,WE DW,ND,2.2,N,McClusky
2162,-99.442,46.048,Hoskins Lake Rec Park,CP,nan,nan,nan,1991.0,E DP FT DW,ND,3.5,W,Ashley
2164,-102.095,47.61,Indian Hills State Rec Area and Resort,SRA,nan,nan,nan,1901.0,WE DP DW SH RS,ND,12.1,W,White Shield
2165,-100.066,48.988,International Peace Garden,nan,nan,nan,nan,2289.0,E DP DW SH,ND,12.1,N,Dunseith
2166,-101.619,47.299,John Moses Memorial Park,CP,nan,small - unkonown facilities,nan,1739.0,E L$,ND,0.3,NE,Hazen
2167,-103.337,47.594,Juniper - Theodore Roosevelt National Park,NP,nan,nan,50,1955.0,NH DP FT DW NR,ND,14.6,S,Watford City
2169,-102.755,47.366,Killdeer City Park,CP,nan,nan,12,2251.0,E DP FT DW SH N$,ND,0.4,S,Killdeer
2170,-100.733,46.679,Kimball Bottom,CP,nan,primitive - unknown facilities,nan,1621.0,NH ND VT NS,ND,9.2,S,Bismarck
2172,-103.144,48.238,Kota Ray County Park,CP,nan,nan,nan,2117.0,E,ND,7.4,S,Ray
2173,-98.943,46.301,Kulm City,CP,nan,call first,8,1969.0,WES DW,ND,0.2,E,Kulm
2174,-100.869,47.53,Lake Holmes,CP,nan,unknown facilities,nan,1832.0,nan,ND,1.2,NE,Turtle Lake
2175,-99.441,46.048,Lake Hoskins Park,CP,nan,dispersed,nan,1994.0,E DP VT NW SH L$,ND,3.5,W,Ashley
2176,-100.337,48.979,Lake Metigoshe State Park,SP,all year,nan,nan,2150.0,E DP DW SH RS,ND,11.6,NE,Bottineau
2177,-102.646,48.559,Lake Park - Powers Lake,CP,nan,nan,12,2203.0,E SH,ND,0.3,S,Powers Lake
2178,-101.452,47.524,Lake Sakakawea State Park,SP,all year,nan,nan,1884.0,E DP DW SH RS,ND,0.9,N,Pick City
2181,-98.373,48.765,Langdon City Park,CP,nan,dispersed,12,1608.0,WES DP NW SH,ND,0.4,NW,Langdon
2182,-100.499,45.978,Langeliers Bay,CP,nan,primitive - unknown facilities,nan,1622.0,NH ND NS,ND,19.4,SW,Strasburg
2186,-101.643,47.294,Lewis and Clark City RV Park,CP,nan,nan,nan,1749.0,WES DP DW SH,ND,1.0,W,Hazen
2187,-103.231,48.13,Lewis and Clark State Park,SP,all year,nan,nan,1894.0,E DP DW SH RS,ND,17.9,E,Williston
2190,-99.831,48.969,Lion Park at Lake Upsilon,CP,nan,nan,nan,2115.0,NH,ND,5.7,W,St. John
2191,-101.837,46.403,Lions and Elgin Parkboard,CP,nan,nan,14,2339.0,E,ND,0.4,E,Elgin
2192,-102.859,48.153,Little Beaver Bay,CP,nan,unknown facilities,76,1861.0,E DP,ND,20.8,NW,New Town
2193,-100.763,46.688,Little Heart Schmidt Bottoms,CP,nan,may be no camping - unknown facilities,15,1621.0,nan,ND,8.4,S,Bismarck
2194,-102.758,47.558,Little Missouri State Park,SP,mid may-mid sep,for reservations call park directly,nan,2442.0,E DP NS RS,ND,12.9,N,Killdeer
2197,-103.473,47.308,Magpie,NF,nan,nan,11,2230.0,NH ND NS NR,ND,35.3,S,Watford City
2198,-100.115,47.825,Martin City Park,CP,nan,Check in at Someplace Else bar,nan,1629.0,WES DP,ND,0.1,S,Martin
2201,-101.141,48.722,Maxbass City Park,CP,nan,nan,nan,1503.0,E DW,ND,0.0,N,Maxbass
2202,-100.446,47.481,McClusky City Park,CP,nan,nan,nan,1913.0,WE DP DW,ND,0.4,S,McClusky
2203,-102.931,48.585,Mcgregor Dam,CP,nan,nan,nan,2268.0,E,ND,12.9,N,Tioga
2204,-98.592,47.576,McHenry City Park,CP,nan,unknown facilities,nan,1506.0,NH,ND,0.0,NW,McHenry
